,,,,,
rcpvar,var,codenr,fold,mod,
,,,,,
cct,,217,atmos,echam6,Air Pressure at Convective Cloud Top [Pa]
cl,,223,atmos,echam6,Cloud Area Fraction [%]
cli,,154,atmos,echam6,Mass Fraction of Cloud Ice [1]
clivi,,150,atmos,echam6,Ice Water Path [kg m-2]
clt,,164,atmos,echam6,Total Cloud Fraction [%]
clw,,153,atmos,echam6,Mass Fraction of Cloud Liquid Water [1]
clwvi,,231,atmos,echam6,Condensed Water Path [kg m-2]
evspsbl,,182,atmos,echam6,Evaporation [kg m-2 s-1]
hfls,,147,atmos,echam6,Surface Upward Latent Heat Flux [W m-2]
hfss,,146,atmos,echam6,Surface Upward Sensible Heat Flux [W m-2]
hur,,157,atmos,echam6,Relative Humidity [%]
hus,,133,atmos,echam6,Specific Humidity [1]
pr,,142,atmos,echam6,Precipitation [kg m-2 s-1]
prc,,143,atmos,echam6,Convective Precipitation [kg m-2 s-1]
prsn,,144,atmos,echam6,Snowfall Flux [kg m-2 s-1]
prw,,230,atmos,echam6,Water Vapor Path [kg m-2]
ps,,134,atmos,echam6,Surface Air Pressure [Pa]
psl,,151,atmos,echam6,Sea Level Pressure [Pa]
rlds,,177,atmos,echam6,Surface Downwelling Longwave Radiation [W m-2]
rldscs,,186,atmos,echam6,Surface Downwelling Clear-Sky Longwave Radiation [W m-2]
rlus,,205,atmos,echam6,Surface Upwelling Longwave Radiation [W m-2]
rlut,,179,atmos,echam6,TOA Outgoing Longwave Radiation [W m-2]
rlutcs,,188,atmos,echam6,TOA Outgoing Clear-Sky Longwave Radiation [W m-2]
rsds,,176,atmos,echam6,Surface Downwelling Shortwave Radiation [W m-2]
rsdscs,,185,atmos,echam6,Surface Downwelling Clear-Sky Shortwave Radiation [W m-2]
rsdt,,184,atmos,echam6,TOA Incident Shortwave Radiation [W m-2]
rsus,,204,atmos,echam6,Surface Upwelling Shortwave Radiation [W m-2]
rsuscs,,185,atmos,echam6,Surface Upwelling Clear-Sky Shortwave Radiation [W m-2]
rsut,,203,atmos,echam6,TOA Outgoing Shortwave Radiation [W m-2]
rsutcs,,184,atmos,echam6,TOA Outgoing Clear-Sky Shortwave Radiation [W m-2]
rtmt,,179,atmos,echam6,Net Downward Flux at Top of Model [W m-2]
sfcWind,,171,atmos,echam6,Near-Surface Wind Speed [m s-1]
ta,,130,atmos,echam6,Air Temperature [K]
tas,,167,atmos,echam6,Near-Surface Air Temperature [K]
tasmax,,201,atmos,echam6,Daily Maximum Near-Surface Air Temperature [K]
tasmin,,202,atmos,echam6,Daily Minimum Near-Surface Air Temperature [K]
tauu,,180,atmos,echam6,Surface Downward Eastward Wind Stress [Pa]
tauv,,181,atmos,echam6,Surface Downward Northward Wind Stress [Pa]
tro3,,236,atmos,echam6,Mole Fraction of O3 [1e-9]
ts,,169,atmos,echam6,Surface Temperature [K]
ua,,131,atmos,echam6,Eastward Wind [m s-1]
uas,,165,atmos,echam6,Eastward Near-Surface Wind [m s-1]
va,,132,atmos,echam6,Northward Wind [m s-1]
vas,,166,atmos,echam6,Northward Near-Surface Wind [m s-1]
wap,,135,atmos,echam6,omega (=dp/dt) [Pa s-1]
zg,,156,atmos,echam6,Geopotential Height [m]
co2mass,,8,atmos,echam6,Total Atmospheric Mass of CO2 [kg]
fco2antt,,20,atmos,echam6,Carbon Mass Flux into Atmosphere Due to All Anthropogenic Emissions of CO2 [kg m-2 s-1]
fco2nat,,5,atmos,echam6,Surface Carbon Mass Flux into the Atmosphere Due to Natural Sources [kg m-2 s-1]
co2,,1,atmos,echam6,Mole Fraction of CO2 [kg kg-1]
,,,,,
baresoilFrac,,,land,jsbach,Bare Soil Fraction [%]
burntArea,,,land,jsbach,Burnt Area Fraction [%]
c3PftFrac,,,land,jsbach,Total C3 PFT Cover Fraction [%]
c4PftFrac,,,land,jsbach,Total C4 PFT Cover Fraction [%]
cLitter,,,land,jsbach,Carbon Mass in Litter Pool [kg m-2]
cSoil,,,land,jsbach,Carbon Mass in Soil Pool [kg m-2]
cVeg,,,land,jsbach,Carbon Mass in Vegetation [kg m-2]
cropFrac,,,land,jsbach,Crop Fraction [%]
fFire,,,land,jsbach,Carbon Mass Flux into Atmosphere due to CO2 Emission from Fire [kg m-2 s-1]
fLuc,,,land,jsbach,Net Carbon Mass Flux into Atmosphere due to Land Use Change [kg m-2 s-1]
fVegLitter,,,land,jsbach,Total Carbon Mass Flux from Vegetation to Litter [kg m-2 s-1]
gpp,,,land,jsbach,Carbon Mass Flux out of Atmosphere due to Gross Primary Production on Land [kg m-2 s-1]
grassFrac,,,land,jsbach,Natural Grass Fraction [%]
intca,intca,,land,jsbach,Total Carbon in all Terrestrial Carbon Pools [kmol m-2]
lai,,,land,jsbach,Leaf Area Index [1]
landCoverFrac,,,land,jsbach,Plant Functional Type Grid Fraction [%]
mrro,,,land,jsbach,Total Runoff [kg m-2 s-1]
mrros,,,land,jsbach,Surface Runoff [kg m-2 s-1]
mrso,,,land,jsbach,Total Soil Moisture Content [kg m-2]
nbp,,,land,jsbach,Carbon Mass Flux out of Atmosphere due to Net Biospheric Production on Land [kg m-2 s-1] 
npp,,171,land,jsbach,Carbon Mass Flux out of Atmosphere due to Net Primary Production on Land [kg m-2 s-1] 
pastureFrac,,,land,jsbach,Anthropogenic Pasture Fraction [%] 
ra,,,land,jsbach,Carbon Mass Flux into Atmosphere due to Autotrophic (Plant) Respiration on Land [kg m-2 s-1] 
residualFrac,,,land,jsbach,Fraction of Grid Cell that is Land but Neither Vegetation-Covered nor Bare Soil [%] 
rh,,,land,jsbach,Carbon Mass Flux into Atmosphere due to Heterotrophic Respiration on Land [kg m-2 s-1] 
shrubFrac,,,land,jsbach,Shrub Fraction [%]
tran,,,land,jsbach,Transpiration [kg m-2 s-1]
treeFrac,,,land,jsbach,Tree Cover Fraction [%]
tsl,,,land,jsbach,Temperature of Soil [K]
,,,,, 
snc,,60l,landIce,,Snow Area Fraction [%]
snm,,218e,landIce,,Surface Snow Melt [kg m-2 s-1] 
snw,,141e,landIce,,Surface Snow Amount [kg m-2] 
,,,,,
hfds,heatabs,222,ocean,mpiom,Downward Heat Flux at Sea Water Surface [W m-2] 
hfsithermds,hfsithermds,149,ocean,mpiom,Heat Flux into Sea Water due to Sea Ice Thermodynamics [W m-2] 
hfx,,123,ocean,mpiom,Ocean Heat X Transport [W]
hfxba,hfxba,127,ocean,mpiom,Ocean Heat X Transport due to Bolus Advection [W] 
hfxdiff,oxhtrdif,125,ocean,mpiom,Ocean Heat X Transport dueto Diffusion [W]  
hfy,,124,ocean,mpiom,Ocean Heat Y Transport [W]  
hfyba,hfyba,128,ocean,mpiom,Ocean Heat Y Transport due to Bolus Advection [W] 
hfydiff,oyhtrdif,126,ocean,mpiom,Ocean Heat Y Transport due to Diffussion [W] 
masso,,514,ocean,mpiom,Sea Water Mass [kg]
mfo,,608,ocean,mpiom,Sea Water Transport [kg s-1] 
mlotst,zmld,183,ocean,mpiom,Ocean Mixed Layer Thickness Defined by Sigma T [m]
mlotstsq,zmld_sqr,181,ocean,mpiom,Square of Ocean Mixed Layer Thickness Defined by Sigma T [m2] 
msftbarot,psitro,27,ocean,mpiom,Ocean Barotropic Mass Streamfunction [kg s-1] 
msftmyz,,100,ocean,mpiom,Ocean Meridional Overturning Mass Streamfunction [kg s-1] 
omldamax,,182,ocean,mpiom,Mean Daily Maximum Ocean Mixed Layer Thickness Defined by Mixing Scheme [m] 
omlmax,,182,ocean,mpiom,Monthly Maximum Ocean Mixed Layer Thickness Defined by Mixing Scheme [m] 
pbo,bottom_pressure,17,ocean,mpiom,Sea Water Pressure at Sea floor [dbar] 
rhopoto,,18,ocean,mpiom,Sea Water Potential Density [kg m-3] 
rsntds,aoflshwo,223,ocean,mpiom,Net Downward Shortwave Radiation at Sea Water Surface [W m-2] 
so,,5,ocean,mpiom,Sea Water Salinity [psu]
soga,,516,ocean,mpiom,Global Mean Sea Water Salinity [psu] 
sos,sss,16,ocean,mpiom,Sea Surface Salinity [psu]
tauuo,,215,ocean,mpiom,Surface Downward X Stress [N m-2] 
tauvo,,216,ocean,mpiom,Surface Downward Y Stress [N m-2]
thetao,,2,ocean,mpiom,Sea Water Potential Temperature [K] 
thetaoga,,515,ocean,mpiom,Global Average Sea Water Potential Temperature [K] 
thkcello,,197,ocean,mpiom,Ocean Model Cell Thickness [m]
tos,sst,12,ocean,mpiom,Sea Surface Temperature [K]
